"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13-ANTI_TAMP","I/O","",""
"3","PC14-OSC32_IN","I/O","",""
"4","PC15-OSC32_OUT","I/O","",""
"5","PH0-OSC_IN","I/O","RCC_OSC_IN",""
"6","PH1-OSC_OUT","I/O","RCC_OSC_OUT",""
"7","NRST","Reset","",""
"8","PC0","I/O","ADC1_IN10","AIN1"
"9","PC1","I/O","ADC1_IN11","AIN2"
"10","PC2","I/O","ADC1_IN12","AIN3"
"11","PC3","I/O","ADC1_IN13","AIN4"
"12","VSSA","Power","",""
"13","VDDA","Power","",""
"14","PA0-WKUP","Output","GPIO_Output","LCD_RS"
"15","PA1","Output","GPIO_Output","LCD_E"
"16","PA2","Output","GPIO_Output","LCD_D0"
"17","PA3","Output","GPIO_Output","LCD_D1"
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA4","Output","GPIO_Output","LCD_D2"
"21","PA5","Output","GPIO_Output","LCD_D3"
"22","PA6","Output","GPIO_Output","HC165_SHLD"
"23","PA7","Input","GPIO_Input","HC165_DATA"
"24","PC4","I/O","",""
"25","PC5","I/O","",""
"26","PB0","I/O","",""
"27","PB1","I/O","",""
"28","PB2","I/O","",""
"29","PB10","I/O","USART3_TX","MIDI_TX"
"30","PB11","I/O","USART3_RX","MIDI_RX"
"31","VCAP_1","Power","",""
"32","VDD","Power","",""
"33","PB12","I/O","",""
"34","PB13","I/O","",""
"35","PB14","I/O","USB_OTG_HS_DM",""
"36","PB15","I/O","USB_OTG_HS_DP",""
"37","PC6","I/O","",""
"38","PC7","I/O","",""
"39","PC8","I/O","",""
"40","PC9","I/O","",""
"41","PA8","Output","GPIO_Output","HC165_CLK"
"42","PA9","I/O","",""
"43","PA10","I/O","",""
"44","PA11","I/O","USB_OTG_FS_DM",""
"45","PA12","I/O","USB_OTG_FS_DP",""
"46","PA13","I/O","SYS_JTMS-SWDIO",""
"47","VCAP_2","Power","",""
"48","VDD","Power","",""
"49","PA14","I/O","SYS_JTCK-SWCLK",""
"50","PA15","I/O","",""
"51","PC10","I/O","",""
"52","PC11","I/O","",""
"53","PC12","Output","GPIO_Output","DAC_LDAC"
"54","PD2","I/O","",""
"55","PB3","I/O","SPI1_SCK",""
"56","PB4","Output","GPIO_Output","DAC_R_CS"
"57","PB5","I/O","SPI1_MOSI",""
"58","PB6","Output","GPIO_Output","STATUS_LED"
"59","PB7","I/O","",""
"60","BOOT0","Boot","",""
"61","PB8","I/O","",""
"62","PB9","Output","GPIO_Output","DAC_L_CS"
"63","VSS","Power","",""
"64","VDD","Power","",""
